Código do Produto;Nome;Código da Seção;Código da Unidade de Medida;Quantidade;Custo;Preço;URL da Imagem
10000;Refrigerante Coca-Cola 2L;1001;102;78;2.0;3.8;imagens/coca-cola.png
10001;Refrigerante Sprite 1L;1001;102;56;1.8;2.5;imagens/sprite.png
10002;Cafe;1009;104;109;1.53;2.4;imagens/cafe.png
10003;Leite em Po;1016;104;230;2.9;4.8;imagens/leite-po.png
10004;Acucar Refinado;1007;101;125;0.8;3.2;imagens/acucar-refinado.png
10005;Arroz Parbolizado;1007;101;145;2.0;3.5;imagens/arroz-parbolizado.png
10006;Refrigerante Coca-Cola 1L;1001;102;78;1.5;3.0;imagens/coca-cola.png
10007;Arroz Branco;1007;101;145;1.9;2.5;imagens/arroz-branco.png
10008;Arroz Vermelho;1007;101;145;1.8;2.3;imagens/arroz-vermelho.png
10009;Feijao;1007;101;75;2.1;4.0;imagens/feijao.png
10010;Batata Inglesa;1000;101;36;0.9;1.75;imagens/batata-inglesa.png
10011;Melao;1000;101;14;0.5;1.86;imagens/melao.png
10012;Refrigerante Fanta 2L;1001;102;86;1.8;2.5;imagens/fanta.png
10013;Refrigerante Coca-cola 500ml;1001;103;98;1.25;2.8;imagens/coca-cola-500.png
10015;Automóvel Ferrari;1024;105;15;3000000.0;5000000.0;imagens/ferrari.png
